"Time (s)","Acceleration (m/s²)"
1.268540633E1,6.256694611E-2
1.273532433E1,4.255515341E-2
1.278529233E1,8.187665039E-2
1.283522133E1,5.758006785E-2
1.288517833E1,6.995505384E-2
1.293512433E1,7.383200450E-2
1.298505633E1,5.780327982E-2
1.303501033E1,6.280674591E-2
1.308495633E1,7.323707040E-2
1.313489933E1,6.875653223E-2
1.318484033E1,6.680711941E-2
1.323476833E1,6.360821006E-2
1.328472733E1,8.843265821E-2
1.333465433E1,8.512714680E-2
1.338460433E1,6.526864480E-2
1.343454333E1,6.368546913E-2
1.348450433E1,3.892422184E-2
1.353445133E1,8.913360324E-2
1.358438933E1,8.399443058E-2
1.363433633E1,5.216964994E-2
1.368428333E1,4.350123793E-2
1.373420233E1,6.283958899E-2
1.378416833E1,4.956772463E-2
1.383409833E1,6.255284382E-2
1.388404333E1,6.187008043E-2
1.393400033E1,9.402200343E-2
1.398394633E1,3.783169152E-2
1.403388933E1,7.095060352E-2
1.408380833E1,6.675585669E-2
1.413375033E1,6.739366184E-2
1.418372133E1,7.584876308E-2
1.423366333E1,6.195203373E-2
1.428361033E1,6.698347783E-2
1.433355233E1,5.658621934E-2
1.438349533E1,5.642746104E-2
1.443344233E1,7.003242895E-2
1.448337833E1,6.354418030E-2
1.453332733E1,4.434042804E-2
1.458327433E1,7.474871087E-2
1.463321633E1,5.498388126E-2
1.468315933E1,6.498673683E-2
1.473309833E1,6.241488562E-2
1.478290537E1,6.093193214E-2
1.483283137E1,6.968031784E-2
1.488277137E1,5.968861675E-2
1.493273438E1,7.331502841E-2
1.498265737E1,8.984172755E-2
1.503262337E1,3.426864704E-2
1.508254037E1,5.959014416E-2
1.513248338E1,6.681979691E-2
1.518243438E1,8.366942224E-2
1.523240038E1,7.700501982E-2
1.528234337E1,3.924069302E-2
1.533229038E1,4.171881885E-2
1.538223237E1,5.572129281E-2
1.543216638E1,9.427007886E-2
1.548211837E1,5.424917952E-2
1.553206537E1,5.070737208E-2
1.558197738E1,4.026369675E-2
1.563192738E1,7.031322275E-2
1.568189738E1,7.559675631E-2
1.573181837E1,9.390636378E-2
1.578178737E1,4.101974128E-2
1.583172838E1,3.458808842E-2
1.588165937E1,5.886425710E-2
1.593161937E1,7.003597839E-2
1.598155538E1,7.770423444E-2
1.603150238E1,5.645752121E-2
1.608145138E1,6.787393020E-2
1.613136638E1,5.080188227E-2
1.618133438E1,6.563288248E-2
1.623126238E1,8.102104011E-2
1.628120737E1,6.533268277E-2
1.633115337E1,5.091655759E-2
1.638109337E1,6.949024588E-2
1.643103837E1,5.881285688E-2
1.648100037E1,8.017976191E-2
1.653092437E1,6.261651863E-2
1.658086038E1,4.820344405E-2
1.663083337E1,6.280884269E-2
1.668077938E1,6.632343225E-2
1.673070338E1,7.057634563E-2
1.678066637E1,7.108273049E-2
1.683061238E1,5.408568589E-2
1.688055437E1,5.775074533E-2
1.693048838E1,7.545586308E-2
